url	title	TotalKorean	EnglishRoot	ChineseRoot	KoreanRoot	UnknownRoot	EnglishRootList	ChineseRootList
http://www.iybrb.com/sport/content/2010-07/22/35_71432.html	2010년 전국 소수민족탁구경기 연변서 펼친다	103	3	78	16	6	['팀', '팀', '팀']	['체육', '민족', '종교', '사무국', '주최', '탁구', '협회', '주관', '사상', '중국', '소수민족', '탁구', '경기', '전국', '소수민족', '탁구', '경기', '탁구', '협회', '활동', '쎈터', '재정', '학교', '진행', '차', '경기', '호남', '상서', '묘족', '자치주', '내몽골', '흑룡강성', '할', '연변', '등', '지구', '소수민족', '선수', '빈', '해변', '강', '한국', '서울시', '특별', '초청', '여개', '출전', '남녀', '집단', '단식', '종목', '쟁탈전', '탁구', '협회', '해당', '책임자', '탁구', '협회', '중국', '소수민족', '지구', '탁구', '수준', '고', '보급', '위해', '년전', '이번', '경기', '진행', '위해', '동분서주', '국가', '체육', '탁구', '쎈터', '긍정', '기자']
http://www.iybrb.com/sport/content/2010-07/22/35_69362.html	주탁구협회대표팀 로씨야서 훌륭한 성적 취득	87	0	68	16	3	[]	['빈', '해변', '강구', '급', '국제', '탁구', '초청', '경기', '탁구', '협회', '성적', '취득', '빈', '해변', '강', '탁구', '협회', '초청', '탁구', '협회', '이번', '경기', '명', '선수', '파견', '치렬', '탁구', '협회', '용남', '상국', '대조', '남자', '단식', '우승', '연길시', '국가', '무국', '박', '장하', '탁구', '협회', '활동', '쎈터', '재정', '학교', '가', '대조', '남자', '단식', '현금', '탁구', '협회', '교류', '쎈터', '연변', '대학', '사범', '분원', '녀자', '단식', '우승', '탁구', '협회', '활동', '쎈터', '가', '각각', '기자']
http://www.iybrb.com/sport/content/2010-07/18/35_71424.html	균형 잡힌 성도, 균형 잃은 연변	173	11	89	58	15	['팀', '홈팀', '팀', '프리킥', '패스', '프리킥', '팀', '멤버', '리그', '시즌', '팀']	['대', '성도', '전', '시사', '경기', '경기', '보면', '성도', '균형', '잡혀있었고', '연변', '균형', '말로', '평가', '선발', '출전', '신진', '배치', '공수', '전환', '담당', '수비', '대인', '방어', '미흡', '배분', '자신', '량', '변선', '수비', '반칙', '득점', '상대', '개인', '수비', '집중', '간접', '설명', '간판', '공격수', '상대', '수비', '동료', '활용', '할', '공간', '할', '득점', '량', '공간활용', '폭', '진', '위치', '분할수', '질도', '외', '연변', '차례', '기회', '후반', '선수', '교체', '통해', '공격', '상대', '주도', '선수', '교체', '박성', '후반', '투입', '경기', '투입', '시키', '기보', '선수', '선발', '출장', '교체', '교체', '감독', '진', '교훈', '총화', '강', '실책', '대한', '대비', '기대']
http://www.iybrb.com/sport/content/2010-07/08/35_69329.html	연변팀 한국 해남서 “구슬땀”	117	12	77	23	5	['팀', '팀', '리그', '셔틀', '뻐스', '팀', '스포츠', '인프라', '팀', '리그', '팀', '팀']	['연변', '구단', '김광주', '감독', '연변', '지난', '한국', '향발', '한국', '남우', '경기장', '훈련', '이번', '한국', '행', '한', '연변', '명', '선수', '후반', '대비', '의욕', '훈련', '소화', '감독', '진', '전', '이번', '한국', '훈련', '한국', '목포', '축구', '쎈터', '민병', '주선', '유치', '해남군', '제공', '등', '연변', '선수', '지역', '지원', '김광주', '감독', '해남군', '차별', '적극', '지원', '감사', '년', '해남', '방문', '고', '유치', '약속', '한편', '연변', '한국', '소속', '오후', '종합', '경기장', '오후', '월드컵경기', '차례', '평가전', '연변', '연길', '귀환', '성도', '경기', '준비', '기자', '실습생', '한우']
http://www.iybrb.com/sport/content/2010-06/28/35_71391.html	한희문국가급심판 고별경기 집법	82	3	59	15	5	['축구심판', '슈퍼리그', '로고']	['연변', '축구', '협회', '연변', '축구', '구락부', '정보', '과학기술', '유한회사', '천동', '민족', '음료', '유한회사', '주최', '자선경기', '체육', '연변', '축구', '협회', '희문', '국가', '심판', '연변', '대학', '체육', '학원', '의', '경기', '종사', '해온', '희문', '당시', '중국', '축구', '갑', '갑', '심판', '담당', '중국', '축구', '심판', '맡고있다', '경기', '심판', '숙련', '수준', '과시', '경기', '체육', '연변', '축구', '협회', '희문', '생화', '증정', '다년', '긍정', '사진', '기자']
http://www.iybrb.com/sport/content/2010-06/28/35_69319.html	한희문국가급심판 고별경기 집법	82	3	59	15	5	['축구심판', '슈퍼리그', '로고']	['연변', '축구', '협회', '연변', '축구', '구락부', '정보', '과학기술', '유한회사', '천동', '민족', '음료', '유한회사', '주최', '자선경기', '체육', '연변', '축구', '협회', '희문', '국가', '심판', '연변', '대학', '체육', '학원', '의', '경기', '종사', '해온', '희문', '당시', '중국', '축구', '갑', '갑', '심판', '담당', '중국', '축구', '심판', '맡고있다', '경기', '심판', '숙련', '수준', '과시', '경기', '체육', '연변', '축구', '협회', '희문', '생화', '증정', '다년', '긍정', '사진', '기자']
http://www.iybrb.com/sport/content/2010-07/08/35_71399.html	연변대표팀 바드민톤경기(종업원조)서 좋은 성적 취득	128	1	91	31	5	['클럽']	['협회', '익', '체육', '관', '성', '경기', '대회', '경기', '종업원', '연변', '성적', '취득', '차', '경기', '성내', '각지', '여개', '여명', '선수', '운집', '수준', '경기', '이번', '경기', '연변', '조', '집단', '경기', '종목', '경기', '개', '종목', '명', '명', '종목', '순자', '혼합', '복식', '합작', '우승', '명', '개', '종목', '류광', '종', '병조', '남자', '단식', '진침', '류빙', '남자', '복식', '서뢰', '최', '금성', '혼합', '복식', '녀자', '단식', '명', '종목', '서뢰', '남자', '단식', '명', '종목', '류', '해도', '남자', '단식', '협회', '조직', '연변', '명', '구성', '이중', '명', '부동', '종목', '성적', '정신', '풍모', '박투', '정신', '대회', '평가', '체육', '도덕', '격상', '기도', '기자']
http://www.iybrb.com/sport/content/2010-07/08/35_71401.html	연변팀 한국 해남서 “구슬땀”	117	12	77	23	5	['팀', '팀', '리그', '셔틀', '뻐스', '팀', '스포츠', '인프라', '팀', '리그', '팀', '팀']	['연변', '구단', '김광주', '감독', '연변', '지난', '한국', '향발', '한국', '남우', '경기장', '훈련', '이번', '한국', '행', '한', '연변', '명', '선수', '후반', '대비', '의욕', '훈련', '소화', '감독', '진', '전', '이번', '한국', '훈련', '한국', '목포', '축구', '쎈터', '민병', '주선', '유치', '해남군', '제공', '등', '연변', '선수', '지역', '지원', '김광주', '감독', '해남군', '차별', '적극', '지원', '감사', '년', '해남', '방문', '고', '유치', '약속', '한편', '연변', '한국', '소속', '오후', '종합', '경기장', '오후', '월드컵경기', '차례', '평가전', '연변', '연길', '귀환', '성도', '경기', '준비', '기자', '실습생', '한우']
http://www.iybrb.com/sport/content/2010-07/08/35_71400.html	2010년 연변녀자문구경기 왕청서	62	4	43	12	3	['팀', '팀', '팀', '팀']	['주로', '체육', '협회', '협회', '주최', '체육', '협회', '협회', '주관', '연변', '녀자', '문구', '경기', '문구', '왕', '청림', '업', '국문', '구장', '성황리', '차', '경기', '직속', '기관', '주내', '개', '현', '시', '개', '여명', '선수', '출전', '승부', '경기', '결과', '직속', '우승', '연길', '홍성', '준우승', '직속', '도문시', '현실']
http://www.iybrb.com/sport/content/2010-07/08/35_69331.html	연변의 축구애호가들 “공띄우기” 세계기록에 도전	149	3	106	35	5	['코카콜라', '기네스세계기록', '기네스세계기록']	['열기', '연변', '대형', '행사', '연변', '축구', '문화', '고양', '축구', '고향', '미칭', '세상', '고저', '연길시', '인민', '정부', '연변', '대학', '신문', '화보', '길림', '회사', '오전', '연변', '대학', '운동장', '남쪽', '경기장', '축구공', '세계', '기록', '도전', '대형', '활동', '연변', '대학', '단위', '부서', '기', '최택씨', '행사', '통보', '나간', '명의', '사생', '용약', '등록', '참가', '연변', '대학', '교정', '매일', '기술', '진', '풍경', '연출', '최택씨', '등록', '사생', '최종', '명의', '사생', '선택', '이외', '기술', '조예', '연길시', '중소', '학교', '학생', '민간', '축구', '애호', '여명', '연변', '대학', '사생', '도전', '행사', '참가', '료', '목전', '종목', '창조', '명', '동시', '기록', '이번', '명의', '연변', '축구', '애호가', '이상', '이번', '대형', '행사', '중앙', '매체', '수십', '보도', '매체', '기자', '파견', '현장', '취재', '기자']
http://www.iybrb.com/sport/content/2010-07/08/35_69330.html	2010년 연변녀자문구경기 왕청서	62	4	43	12	3	['팀', '팀', '팀', '팀']	['주로', '체육', '협회', '협회', '주최', '체육', '협회', '협회', '주관', '연변', '녀자', '문구', '경기', '문구', '왕', '청림', '업', '국문', '구장', '성황리', '차', '경기', '직속', '기관', '주내', '개', '현', '시', '개', '여명', '선수', '출전', '승부', '경기', '결과', '직속', '우승', '연길', '홍성', '준우승', '직속', '도문시', '현실']
http://www.iybrb.com/sport/content/2010-07/11/35_69333.html	연변 “공띄우기” 기네스세계기록 돌파	78	7	38	31	2	['월드컵', '기네스세계기록', '기네스세계기록', '기네스세계기록', '기네스세계기록', '기네스세계기록', '기네스세계기록']	['열기', '축구', '고향', '연변', '돌파', '일대', '장거', '해내', '세인', '오전', '연변', '대학', '경기장', '도전', '명', '선수', '군', '인산인해', '도전', '선포', '경기장', '선수', '동시', '시작', '무려', '명', '선수', '연변', '명', '돌파', '공식', '정일', '돌파', '인정', '정식', '선포', '참여자', '군']
http://www.iybrb.com/sport/content/2010-07/08/35_71402.html	연변의 축구애호가들 “공띄우기” 세계기록에 도전	149	3	106	35	5	['코카콜라', '기네스세계기록', '기네스세계기록']	['열기', '연변', '대형', '행사', '연변', '축구', '문화', '고양', '축구', '고향', '미칭', '세상', '고저', '연길시', '인민', '정부', '연변', '대학', '신문', '화보', '길림', '회사', '오전', '연변', '대학', '운동장', '남쪽', '경기장', '축구공', '세계', '기록', '도전', '대형', '활동', '연변', '대학', '단위', '부서', '기', '최택씨', '행사', '통보', '나간', '명의', '사생', '용약', '등록', '참가', '연변', '대학', '교정', '매일', '기술', '진', '풍경', '연출', '최택씨', '등록', '사생', '최종', '명의', '사생', '선택', '이외', '기술', '조예', '연길시', '중소', '학교', '학생', '민간', '축구', '애호', '여명', '연변', '대학', '사생', '도전', '행사', '참가', '료', '목전', '종목', '창조', '명', '동시', '기록', '이번', '명의', '연변', '축구', '애호가', '이상', '이번', '대형', '행사', '중앙', '매체', '수십', '보도', '매체', '기자', '파견', '현장', '취재', '기자']
http://www.iybrb.com/sport/content/2010-07/18/35_71425.html	“결과는 승복…강홍권의 ‘축출’로 팀 완전히 피동”	116	10	62	40	4	['팀', '프리킥', '팀', '팀', '팀', '팀', '팀', '옐로카드', '레드카드', '레드카드']	['산', '성도', '감독', '경기', '성도', '행운', '차례', '반격', '행운', '연변', '기절', '주', '장악', '능력', '기회', '정채', '경기', '후반전', '인원', '보수', '경기', '림', '휴식', '기간', '선수', '감각', '수도', '인원', '연변', '수비', '진', '적지', '압력', '김광주', '연변', '감독', '성도', '실력', '강팀', '방', '전환', '속도', '선수', '개개인', '능력', '경기', '정상', '전반전', '선수', '집중', '후반', '강', '루적', '경기장', '피동', '받기전까지', '연변', '공세', '상대', '초월', '대해', '실망']
http://www.iybrb.com/sport/content/2010-07/11/35_69335.html	연변생활체육의 “두뇌” 주체육총회	221	2	172	45	2	['클럽', '골']	['림', '세상', '고고', '체육', '총회', '정식', '해당', '부문', '등록', '설립', '현재', '연변', '생활', '체육', '두뇌', '체육', '총회', '산하에', '개', '급', '생활', '체육', '항목', '협회', '등록', '외', '개', '생활', '체육', '항목', '협회', '등록', '준비', '대중', '건강', '촉진', '활약', '이자', '연변', '생활', '체육', '지휘자', '인', '체육', '총회', '엄격', '체계', '직책', '감당', '연변', '체육', '운동', '발전', '추', '함', '동시', '체육', '사회', '진척', '추진', '연변', '체육', '사업', '발전', '위해', '건의', '개혁', '조치', '제출', '주급', '체육', '사회', '단체', '즉', '급', '생활', '체육', '항목', '협회', '책임지고', '관리', '협회', '업종', '체육', '협회', '계통', '체육', '협회', '주내', '각', '현', '시', '체육', '회의', '사업', '지도', '대중', '체육', '경기', '체육', '양성', '활동', '조직', '체육', '운동', '종목', '보급', '운동', '기술', '수준', '고', '추', '동해', '상급', '해당', '부문', '준', '각종', '경기', '주관', '체육', '리론', '전업', '운동', '기술', '조사', '연구', '활동', '조직', '체육', '운동', '수준', '고', '하여', '자문', '공능', '역할', '국제', '체육', '교류', '활동', '전개', '동시', '국제', '체육', '경기', '주최', '연변', '체육', '대외', '교류', '역할', '체육', '준', '기타', '사항', '사업', '임무', '완수', '기자', '사진', '체육', '총회', '주최', '태권도', '교류', '활동', '태권도', '경기', '장면', '허성', '기자']
http://www.iybrb.com/sport/content/2010-07/11/35_71403.html	연변 “공띄우기” 기네스세계기록 돌파	78	7	38	31	2	['월드컵', '기네스세계기록', '기네스세계기록', '기네스세계기록', '기네스세계기록', '기네스세계기록', '기네스세계기록']	['열기', '축구', '고향', '연변', '돌파', '일대', '장거', '해내', '세인', '오전', '연변', '대학', '경기장', '도전', '명', '선수', '군', '인산인해', '도전', '선포', '경기장', '선수', '동시', '시작', '무려', '명', '선수', '연변', '명', '돌파', '공식', '정일', '돌파', '인정', '정식', '선포', '참여자', '군']
http://www.iybrb.com/sport/content/2010-07/11/35_71405.html	연변생활체육의 “두뇌” 주체육총회	221	2	172	45	2	['클럽', '골']	['림', '세상', '고고', '체육', '총회', '정식', '해당', '부문', '등록', '설립', '현재', '연변', '생활', '체육', '두뇌', '체육', '총회', '산하에', '개', '급', '생활', '체육', '항목', '협회', '등록', '외', '개', '생활', '체육', '항목', '협회', '등록', '준비', '대중', '건강', '촉진', '활약', '이자', '연변', '생활', '체육', '지휘자', '인', '체육', '총회', '엄격', '체계', '직책', '감당', '연변', '체육', '운동', '발전', '추', '함', '동시', '체육', '사회', '진척', '추진', '연변', '체육', '사업', '발전', '위해', '건의', '개혁', '조치', '제출', '주급', '체육', '사회', '단체', '즉', '급', '생활', '체육', '항목', '협회', '책임지고', '관리', '협회', '업종', '체육', '협회', '계통', '체육', '협회', '주내', '각', '현', '시', '체육', '회의', '사업', '지도', '대중', '체육', '경기', '체육', '양성', '활동', '조직', '체육', '운동', '종목', '보급', '운동', '기술', '수준', '고', '추', '동해', '상급', '해당', '부문', '준', '각종', '경기', '주관', '체육', '리론', '전업', '운동', '기술', '조사', '연구', '활동', '조직', '체육', '운동', '수준', '고', '하여', '자문', '공능', '역할', '국제', '체육', '교류', '활동', '전개', '동시', '국제', '체육', '경기', '주최', '연변', '체육', '대외', '교류', '역할', '체육', '준', '기타', '사항', '사업', '임무', '완수', '기자', '사진', '체육', '총회', '주최', '태권도', '교류', '활동', '태권도', '경기', '장면', '허성', '기자']
http://www.iybrb.com/sport/content/2010-07/12/35_71407.html	김경도 전지훈련서 주목	90	6	46	32	6	['팀', '팀', '시티즌', '플레이', '팀', '스타']	['김광주', '감독', '이번', '훈련', '연변', '유망', '주', '배번', '번', '가', '각', '한국', '보도', '매체', '주목', '평가전', '감독', '진', '동료', '성장', '격려', '생인', '감독', '진', '경도', '어린', '경기', '시야', '활동', '폭', '전술', '세밀', '칭찬', '경도', '장점', '현재', '국가', '청년', '정', '선수', '연변', '부상', '하길', '기대', '사진', '허성']
http://www.iybrb.com/sport/content/2010-07/11/35_71406.html	주체육운동학교 유도팀 성적 괄목	103	1	69	14	19	['팀']	['길림성', '체육', '중경', '운동', '관리', '쎈터', '주최', '료', '체육', '국서', '주관', '성', '경기', '대회', '유도', '경기', '료', '체육관', '진행', '차', '경기', '성내', '개', '여명', '선수', '출전', '악', '쟁탈전', '연변', '체육', '운동', '학교', '유도', '명', '선수', '출전', '급별', '금메달', '매', '항', '조', '녀자', '갑', '옥설', '녀', '조', '은메달', '매', '진일', '남자', '갑', '홍', '녀', '조', '동메달', '매', '남자', '갑', '남자', '갑', '봉', '조', '녀', '조', '녀자', '병조', '괄목', '성적', '기자']
http://www.iybrb.com/sport/content/2010-07/11/35_69334.html	주체육운동학교 유도팀 성적 괄목	103	1	69	14	19	['팀']	['길림성', '체육', '중경', '운동', '관리', '쎈터', '주최', '료', '체육', '국서', '주관', '성', '경기', '대회', '유도', '경기', '료', '체육관', '진행', '차', '경기', '성내', '개', '여명', '선수', '출전', '악', '쟁탈전', '연변', '체육', '운동', '학교', '유도', '명', '선수', '출전', '급별', '금메달', '매', '항', '조', '녀자', '갑', '옥설', '녀', '조', '은메달', '매', '진일', '남자', '갑', '홍', '녀', '조', '동메달', '매', '남자', '갑', '남자', '갑', '봉', '조', '녀', '조', '녀자', '병조', '괄목', '성적', '기자']
http://www.iybrb.com/sport/content/2010-07/12/35_69336.html	김경도 전지훈련서 주목	90	6	46	32	6	['팀', '팀', '시티즌', '플레이', '팀', '스타']	['김광주', '감독', '이번', '훈련', '연변', '유망', '주', '배번', '번', '가', '각', '한국', '보도', '매체', '주목', '평가전', '감독', '진', '동료', '성장', '격려', '생인', '감독', '진', '경도', '어린', '경기', '시야', '활동', '폭', '전술', '세밀', '칭찬', '경도', '장점', '현재', '국가', '청년', '정', '선수', '연변', '부상', '하길', '기대', '사진', '허성']
http://www.iybrb.com/sport/content/2010-07/04/35_69323.html	김룡기자 외롭고 힘든 취재임무 마무리고 귀국	290	19	168	91	12	['만나', '에피소드', '그룹', '호텔', '호텔', '호텔', '리그', '록', '메일', '월드컵', '월드컵', '팀', '뻐스', '택시', '유럽', '북경올림픽', '사이트', '코너', '클릭']	['지난', '연길', '현장', '취재', '출발', '남아', '공행', '길림신문', '사의', '김룡기자', '연길', '도착', '김룡기자', '남아공', '취재', '감회', '등', '김룡기자', '이번', '남아', '공행', '길림신문', '창간', '특별', '기획', '행사', '이번', '남아', '공행', '신문사', '동료', '연변', '통', '회장', '조선족', '축구', '협회', '친우', '호주머니', '김룡기자', '이번', '취재', '외', '지어', '인신', '안전', '위협', '취재', '김룡기자', '이번', '취재', '영어', '국제', '축구', '련맹', '예약', '신청', '하지', '도착', '김룡기자', '중국', '대사관', '취재', '기간', '번의', '강탈', '한지', '보호', '용', '무기', '항상', '청', '대부분', '소식', '개회', '직접', '참가', '김룡기자', '영어', '음기', '지니', '록음', '연길시', '중학', '근무', '영어', '교원', '씨', '김미례씨', '속도', '삼촌', '번역', '내용', '제공', '김룡기자', '기사', '마무', '려', '신문사', '김룡씨', '경기', '장내', '음악회', '분위기', '청', '하기가', '경기장', '인상', '축구공', '기념품', '등등', '제품', '중국산', '표기', '김룡기자', '국제', '축구', '련맹', '배치', '일부', '훈련', '취재', '보안', '기사', '등', '파업', '로임', '인상', '요구', '단행', '경우', '번', '안전', '상황', '고려', '타기가', '김룡기자', '미주', '기자', '국제', '대회', '중국', '심', '성공', '주최', '기자', '인상', '준', '모양', '김룡기자', '이번', '남아', '공행', '김룡기자', '외', '상황', '사진', '수백', '기사', '편', '독자', '선물', '김룡기자', '하면', '현장', '취재', '내용', '기자']
http://www.iybrb.com/sport/content/2010-07/04/35_71396.html	김룡기자 외롭고 힘든 취재임무 마무리고 귀국	290	19	168	91	12	['만나', '에피소드', '그룹', '호텔', '호텔', '호텔', '리그', '록', '메일', '월드컵', '월드컵', '팀', '뻐스', '택시', '유럽', '북경올림픽', '사이트', '코너', '클릭']	['지난', '연길', '현장', '취재', '출발', '남아', '공행', '길림신문', '사의', '김룡기자', '연길', '도착', '김룡기자', '남아공', '취재', '감회', '등', '김룡기자', '이번', '남아', '공행', '길림신문', '창간', '특별', '기획', '행사', '이번', '남아', '공행', '신문사', '동료', '연변', '통', '회장', '조선족', '축구', '협회', '친우', '호주머니', '김룡기자', '이번', '취재', '외', '지어', '인신', '안전', '위협', '취재', '김룡기자', '이번', '취재', '영어', '국제', '축구', '련맹', '예약', '신청', '하지', '도착', '김룡기자', '중국', '대사관', '취재', '기간', '번의', '강탈', '한지', '보호', '용', '무기', '항상', '청', '대부분', '소식', '개회', '직접', '참가', '김룡기자', '영어', '음기', '지니', '록음', '연길시', '중학', '근무', '영어', '교원', '씨', '김미례씨', '속도', '삼촌', '번역', '내용', '제공', '김룡기자', '기사', '마무', '려', '신문사', '김룡씨', '경기', '장내', '음악회', '분위기', '청', '하기가', '경기장', '인상', '축구공', '기념품', '등등', '제품', '중국산', '표기', '김룡기자', '국제', '축구', '련맹', '배치', '일부', '훈련', '취재', '보안', '기사', '등', '파업', '로임', '인상', '요구', '단행', '경우', '번', '안전', '상황', '고려', '타기가', '김룡기자', '미주', '기자', '국제', '대회', '중국', '심', '성공', '주최', '기자', '인상', '준', '모양', '김룡기자', '이번', '남아', '공행', '김룡기자', '외', '상황', '사진', '수백', '기사', '편', '독자', '선물', '김룡기자', '하면', '현장', '취재', '내용', '기자']
http://www.iybrb.com/sport/content/2010-07/01/35_71395.html	성 제16회경기대회서 류사원 녀자도로자전거 3등 차지	92	10	59	19	4	['컵', '킬로', '메터', '메달', '메터', '킬로', '킬로', '킬로', '킬로', '킬로']	['체육', '송원시', '호풍', '경구', '간호', '성', '경기', '대회', '녀자', '도로', '자전거경기', '연변', '대표', '출전', '류', '선수', '녀', '조', '개인', '전', '종목', '연변', '유일', '획득', '체육', '륙', '자전거', '운동', '관리', '쎈터', '주최', '인민', '정부', '간호', '관광', '경제개발', '관리', '위원회', '주관', '차', '경기', '개', '급별', '갑', '조', '병조', '의', '개', '종목', '설치', '치렬', '쟁탈전', '연변', '위주', '선수', '이번', '경기', '출전', '기자']
